body	wikipedia_title	file	source_url
Charon	Charon (moon)	solar_system_images/moons/Charon.png	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Charon_in_True_Color_-_High-Res.png/1280px-Charon_in_True_Color_-_High-Res.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Nix	Nix (moon)	solar_system_images/moons/Nix.jpg	https://upload.wikimedia.org/wikipedia/commons/5/51/Nix_best_view.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Hydra	Hydra (moon)	solar_system_images/moons/Hydra.png	https://upload.wikimedia.org/wikipedia/commons/9/94/Hydra_reprocessed.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Ceres	Ceres (dwarf planet)	solar_system_images/asteroids/Ceres.jpg	https://upload.wikimedia.org/wikipedia/commons/7/76/Ceres_-_RC3_-_Haulani_Crater_%2822381131691%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Vesta	4 Vesta	solar_system_images/asteroids/Vesta.jpg	https://upload.wikimedia.org/wikipedia/commons/5/51/Vesta_in_natural_color.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Pallas	2 Pallas	solar_system_images/asteroids/Pallas.png	https://upload.wikimedia.org/wikipedia/commons/d/d4/Potw1749a_Pallas_crop.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Hygiea	10 Hygiea	solar_system_images/asteroids/Hygiea.jpg	https://upload.wikimedia.org/wikipedia/commons/8/88/SPHERE_image_of_Hygiea.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Juno	3 Juno	solar_system_images/asteroids/Juno.png	https://upload.wikimedia.org/wikipedia/commons/6/61/3_Juno_VLT_%282021%29.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Eros	433 Eros	solar_system_images/asteroids/Eros.jpg	https://upload.wikimedia.org/wikipedia/commons/e/e5/Eros_-_PIA02923_%28color%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Ida	243 Ida	solar_system_images/asteroids/Ida.jpg	https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Gaspra	951 Gaspra	solar_system_images/asteroids/Gaspra.jpg	https://upload.wikimedia.org/wikipedia/commons/8/81/951_Gaspra.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
